year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1998,4,30,15.36,25.6,39.49,-1.25,-7.8,25.56,1.64,33.4,28.89
1998,6,8,23.52,28.3,40.35,9.94,8.3,26.38,5.16,20,22.38
1998,7,19,25.83,41.1,40.74,14.95,20,27.01,3.67,21.1,20.94
1998,9,10,23.05,27.2,39.68,9.61,7.2,27.54,3.13,20,22.43
1999,4,30,15.36,13.3,39.49,-1.25,6.1,25.56,1.64,7.2,28.89
1999,5,1,17.89,12.2,38.08,1,6.1,24.74,2.84,6.1,27.39
1999,8,31,23.49,30,40.25,12.65,11.7,26.47,3.37,18.3,21.25
1999,9,1,24.44,29.4,39.66,12.34,10.6,26.61,3.45,18.8,21.7
1999,9,2,24.18,32.2,39.87,13.15,12.2,25.97,3.7,20,21.22
1999,9,17,19.06,30.6,40.86,9.55,9.4,27.05,-0.79,21.2,24.1
1999,9,23,20.55,26.1,39.06,6.12,3.9,27.08,2.23,22.2,24.12
2000,7,18,25.74,41.7,40.52,14.18,36.1,27.56,3.95,5.6,20.56
2000,9,27,17.52,35.6,39.44,6.51,7.8,27.19,-1.43,27.8,24.69
2000,10,10,16.66,17.8,36.38,-1.19,-2.2,26.6,1.31,20,26.32
2001,4,30,15.36,12.8,39.49,-1.25,10,25.56,1.64,2.8,28.89
2001,7,4,24.67,34.4,41.35,13.99,27.2,26.64,3.46,7.2,21.93
2001,7,14,24.86,30,41.51,14.27,13.9,27.47,3.26,16.1,21.37
2001,7,15,25.82,31.1,40.94,15.18,13.9,26.8,4.57,17.2,20.21
2001,7,16,25.77,31.1,40.95,15.02,13.9,26.61,3.55,17.2,21.54
2001,7,17,26.24,32.2,40.06,14.9,14.4,26.72,4.28,17.8,20.39
2001,7,22,25.84,32.8,40.96,14.32,29.4,27.26,4.53,3.4,20.69
2001,8,2,25.89,31.1,40.3,15.21,15,26.63,4.7,16.1,19.66
2001,9,16,20.85,28.3,40.04,9.56,7.8,26.95,0.13,20.5,24.26
2001,9,18,20.04,27.8,39.96,8.8,7.8,26.66,1.51,20,23.04
2002,5,20,21.21,21.1,39.66,5.79,1.7,25.59,3.24,19.4,26.26
2002,5,21,20.12,23.9,40.14,5.19,0.6,27.22,1.54,23.3,26.31
2002,5,22,21.14,23.3,39.4,6.47,6.1,25.62,3.62,17.2,24.83
